이름,국어,영어,수학,과학
학생5091,70,41,86,93
학생5092,20,88,73,46
학생5093,63,60,55,70
학생5094,21,50,55,88
학생5095,98,90,88,64
학생5096,88,90,62,72
학생5097,46,56,39,24
학생5098,70,41,86,93
학생5099,20,88,73,46
학생5100,63,60,55,70
학생5101,21,50,55,88
학생5102,98,90,88,64
학생5103,88,90,62,72
학생5104,92,70,75,85
학생5105,63,60,31,70
학생5106,54,50,23,88
학생5107,64,54,73,83
학생5108,89,36,63,14
학생5109,83,26,81,98
학생5110,18,51,17,6
학생5111,46,56,39,24
학생5112,70,41,86,93
학생5113,20,88,73,46
학생5114,63,60,55,70
학생5115,21,50,55,88
학생5116,98,90,88,64
학생5117,88,90,62,72
학생5118,92,70,75,85
학생5119,63,60,31,70
학생5120,54,50,23,88
학생5121,46,56,39,24
학생5122,70,41,86,93
학생5123,20,88,73,46
학생5124,63,60,55,70
학생5125,21,50,55,88
학생5126,98,90,88,64
학생5127,88,90,62,72
학생5128,46,56,39,24
학생5129,70,41,86,93
학생5130,20,88,73,46
학생5131,63,60,55,70
학생5132,21,50,55,88
학생5133,98,90,88,64
학생5134,88,90,62,72
학생5135,92,70,75,85
학생5136,63,60,31,70
학생5137,54,50,23,88
학생5138,64,54,73,83
학생5139,46,56,39,24
학생5140,70,41,86,93
학생5141,20,88,73,46
학생5142,63,60,55,70
학생5143,21,50,55,88
학생5144,98,90,88,64
학생5145,88,90,62,72
학생5146,92,70,75,85
학생5147,63,60,31,70
학생5148,54,50,23,88
학생5149,46,56,39,24
학생5150,70,41,86,93
학생5151,20,88,73,46
학생5152,46,56,39,24
학생5153,70,41,86,93
학생5154,46,56,39,24
학생5155,70,41,86,93
학생5156,20,88,73,46
학생5157,63,60,55,70
학생5158,21,50,55,88
학생5159,98,90,88,64
학생5160,88,90,62,72
학생5161,92,70,75,85
학생5162,63,60,31,70
학생5163,54,50,23,88
학생5164,64,54,73,83
학생5165,89,36,63,14
학생5166,83,26,81,98
학생5167,18,51,17,6
학생5168,85,37,23,49
학생5169,90,93,65,30
학생5170,71,83,15,11
학생5171,94,6,28,69
학생5172,85,88,60,17
학생5173,32,59,16,31
학생5174,59,64,40,72
학생5175,85,73,51,6
학생5176,20,36,26,73
학생5177,46,56,39,24
학생5178,70,41,86,93
학생5179,20,88,73,46
학생5180,63,60,55,70
학생5181,21,50,55,88
학생5182,98,90,88,64
학생5183,88,90,62,72
학생5184,92,70,75,85
학생5185,63,60,31,70
학생5186,54,50,23,88
학생5187,64,54,73,83
학생5188,89,36,63,14
학생5189,83,26,81,98
학생5190,18,51,17,6
학생5191,23,61,24,30
학생5192,53,60,20,39
학생5193,46,56,39,24
학생5194,70,41,86,93
학생5195,20,88,73,46
학생5196,63,60,55,70
학생5197,21,50,55,88
학생5198,98,90,88,64
학생5199,88,90,62,72
학생5200,92,70,75,85
학생5201,63,60,31,70
학생5202,54,50,23,88
학생5203,64,54,73,83
학생5204,89,36,63,14
학생5205,83,26,81,98
학생5206,18,51,17,6
학생5207,54,50,23,88
학생5208,64,54,73,83
학생5209,89,36,63,14
학생5210,83,26,81,98
학생5211,18,51,17,6
학생5212,71,84,33,34
학생5213,64,3,39,18
학생5214,46,43,49,2
학생5215,36,72,84,28
학생5216,83,57,67,33
학생5217,33,19,69,65
학생5218,46,56,39,24
학생5219,70,41,86,93
학생5220,20,88,73,46
학생5221,63,60,55,70
학생5222,21,50,55,88
학생5223,98,90,88,64
학생5224,88,90,62,72
학생5225,92,70,75,85
학생5226,63,60,31,70
학생5227,54,50,23,88
학생5228,64,54,73,83
학생5229,89,36,63,14
학생5230,83,26,81,98
학생5231,18,51,17,6
학생5232,46,56,39,24
학생5233,70,41,86,93
학생5234,20,88,73,46
학생5235,63,60,55,70
학생5236,21,50,55,88
학생5237,98,90,88,64
학생5238,88,90,62,72
학생5239,46,56,39,24
학생5240,70,41,86,93
학생5241,20,88,73,46
학생5242,63,60,55,70
학생5243,21,50,55,88
학생5244,98,90,88,64
학생5245,88,90,62,72
학생5246,92,70,75,85
학생5247,63,60,31,70
학생5248,54,50,23,88
학생5249,64,54,73,83
학생5250,89,36,63,14
학생5251,83,26,81,98
학생5252,18,51,17,6
학생5253,46,56,39,24
학생5254,70,41,86,93
학생5255,20,88,73,46
학생5256,63,60,55,70
학생5257,21,50,55,88
학생5258,98,90,88,64
학생5259,88,90,62,72
학생5260,92,70,75,85
학생5261,63,60,31,70
학생5262,54,50,23,88
학생5263,64,54,73,83
학생5264,89,36,63,14
학생5265,83,26,81,98
학생5266,18,51,17,6
학생5267,69,66,39,59
학생5268,25,19,37,45
학생5269,21,82,20,20
학생5270,7,11,57,74
학생5271,23,32,52,99
학생5272,97,87,30,66
학생5273,53,32,23,28
학생5274,14,45,73,30
학생5275,12,52,44,37
학생5276,46,56,39,24
학생5277,70,41,86,93
학생5278,20,88,73,46
학생5279,63,60,55,70
학생5280,21,50,55,88
학생5281,98,90,88,64
학생5282,88,90,62,72
학생5283,92,70,75,85
학생5284,63,60,31,70
학생5285,54,50,23,88
학생5286,64,54,73,83
학생5287,89,36,63,14
학생5288,83,26,81,98
학생5289,18,51,17,6
학생5290,75,38,94,50
학생5291,58,74,56,27
학생5292,52,86,55,51
학생5293,62,24,72,24
학생5294,71,21,21,89
학생5295,95,67,17,86
학생5296,62,71,88,95
학생5297,46,56,39,24
학생5298,70,41,86,93
학생5299,20,88,73,46
학생5300,63,60,55,70
학생5301,21,50,55,88
학생5302,98,90,88,64
학생5303,46,56,39,24
학생5304,70,41,86,93
학생5305,20,88,73,46
학생5306,63,60,55,70
학생5307,21,50,55,88
학생5308,98,90,88,64
학생5309,88,90,62,72
학생5310,92,70,75,85
학생5311,63,60,31,70
학생5312,54,50,23,88
학생5313,64,54,73,83
학생5314,89,36,63,14
학생5315,83,26,81,98
학생5316,18,51,17,6
학생5317,98,,88,64
학생5318,88,90,62,72
학생5319,92,70,,
학생5320,63,60,31,70
학생5321,100,50,,88
학생5322,98,,88,64
학생5323,88,90,62,72
학생5324,92,70,,
학생5325,63,60,31,70
학생5326,100,50,,88
학생5327,56,49,90,44
학생5328,34,28,16,0
학생5329,37,13,9,41
학생5330,14,17,21,77
학생5331,37,20,3,77
학생5332,19,97,28,77
학생5333,57,85,33,84
학생5334,10,21,67,54
학생5335,79,74,14,59
학생5336,96,67,66,48
학생5337,46,25,54,56
학생5338,66,32,77,24
학생5339,46,25,2,12
학생5340,26,10,49,74
학생5341,97,68,65,33
학생5342,86,70,99,45
학생5343,31,62,37,82
학생5344,43,88,11,56
학생5345,6,98,96,74
학생5346,41,75,8,22
학생5347,29,45,94,70
학생5348,83,84,32,91
학생5349,91,1,53,32
학생5350,89,59,10,29
학생5351,84,58,70,25
학생5352,96,95,10,4
학생5353,83,7,64,9
학생5354,67,38,63,26
학생5355,50,72,14,86
학생5356,60,28,49,59
학생5357,71,11,49,62
학생5358,32,63,31,96
학생5359,72,6,73,22
학생5360,29,93,2,85
학생5361,,56,64,24
학생5362,98,,88,64
학생5363,88,90,62,72
학생5364,92,70,,
학생5365,63,60,31,70
학생5366,21,50,,88
학생5367,98,,88,64
학생5368,88,90,62,72
학생5369,92,70,,
학생5370,63,60,31,70
학생5371,54,50,,88
학생5372,64,3,73,83
학생5373,78,58,20,47
학생5374,13,82,57,1
학생5375,4,11,81,76
학생5376,3,25,26,67
학생5377,96,78,1,6
학생5378,78,31,70,91
학생5379,4,63,59,23
학생5380,29,67,49,28
학생5381,93,56,63,55
학생5382,57,65,12,47
학생5383,20,74,56,17
학생5384,6,61,0,20
학생5385,3,11,83,45
학생5386,4,82,88,69
학생5387,62,5,92,67
학생5388,4,12,73,73
학생5389,84,58,70,25
학생5390,96,95,10,4
학생5391,83,7,64,9
학생5392,67,38,63,26
학생5393,50,72,14,86
학생5394,60,28,49,59
학생5395,71,11,49,62
학생5396,32,63,31,96
학생5397,72,6,73,22
학생5398,29,93,2,85
학생5399,,56,64,24
학생5400,98,,88,64
학생5401,88,90,62,72
학생5402,92,70,,
학생5403,63,60,31,70
학생5404,21,50,,88
학생5405,98,,88,64
학생5406,88,90,62,72
학생5407,92,70,,
학생5408,63,60,31,70
학생5409,54,50,,88
학생5410,64,3,73,83
학생5411,83,91,32,99
학생5412,5,55,11,65
학생5413,7,40,10,3
학생5414,55,46,74,35
학생5415,97,70,20,27
학생5416,92,61,42,88
학생5417,16,10,41,55
학생5418,47,33,64,65
학생5419,14,40,90,41
학생5420,3,74,48,49
학생5421,52,64,68,85
학생5422,26,87,93,36
학생5423,30,51,30,62
학생5424,72,44,80,13
학생5425,35,49,30,41
학생5426,52,60,1,14
학생5427,12,65,86,76
학생5428,79,21,11,41
학생5429,13,33,72,92
학생5430,57,68,33,33
학생5431,48,44,37,83
학생5432,66,88,81,66
학생5433,44,15,44,46
학생5434,99,2,96,90
학생5435,57,4,12,85
학생5436,4,77,57,83
학생5437,74,23,52,64
학생5438,84,58,70,25
학생5439,96,95,10,4
학생5440,83,7,64,9
학생5441,67,38,63,26
학생5442,50,72,14,86
학생5443,60,28,49,59
학생5444,71,11,49,62
학생5445,32,63,31,96
학생5446,72,6,73,22
학생5447,29,93,2,85
학생5448,,56,64,24
학생5449,98,,88,64
학생5450,88,90,62,72
학생5451,92,70,55,
학생5452,63,60,55,70
학생5453,21,50,55,88
학생5454,98,,88,64
학생5455,88,90,62,72
학생5456,92,70,75,85
학생5457,63,60,31,70
학생5458,54,50,23,88
학생5459,64,54,73,83
학생5460,89,36,63,14
학생5461,83,26,81,98
학생5462,18,51,17,6
학생5463,63,60,55,70
학생5464,21,50,55,88
학생5465,98,,88,64
학생5466,88,90,62,72
학생5467,92,70,75,85
학생5468,63,60,31,70
학생5469,54,50,23,88
학생5470,64,54,73,83
학생5471,89,36,63,14
학생5472,83,26,81,98
학생5473,18,51,17,6
학생5474,33,95,77,95
학생5475,86,34,31,18
학생5476,61,31,97,69
학생5477,79,87,93,86
학생5478,68,75,10,58
학생5479,36,59,90,54
학생5480,55,25,13,30
학생5481,63,60,55,70
학생5482,21,50,55,88
학생5483,98,,88,64
학생5484,88,90,62,72
학생5485,92,70,75,85
학생5486,63,60,31,70
학생5487,54,50,23,88
학생5488,64,54,73,83
학생5489,89,36,63,14
학생5490,83,26,81,98
학생5491,18,51,17,6
학생5492,73,89,73,78
학생5493,45,11,99,81
학생5494,88,10,87,7
학생5495,10,67,56,93
학생5496,97,82,93,67
학생5497,4,86,62,94
학생5498,72,47,72,89
학생5499,13,56,64,34
학생5500,46,56,39,24
학생5501,70,41,86,93
학생5502,20,88,73,46
학생5503,63,60,55,70
학생5504,21,50,55,88
학생5505,98,90,88,64
학생5506,88,90,62,72
학생5507,92,70,75,85
학생5508,63,60,31,70
학생5509,54,50,23,88
학생5510,64,54,73,83
학생5511,89,36,63,14
학생5512,83,26,81,98
학생5513,18,51,17,6
학생5514,74,85,95,70
학생5515,46,56,39,24
학생5516,70,41,86,93
학생5517,20,88,73,46
학생5518,63,60,55,70
학생5519,21,50,55,88
학생5520,98,90,88,64
학생5521,88,90,62,72
학생5522,92,70,75,85
학생5523,63,60,31,70
학생5524,54,50,23,88
학생5525,64,54,73,83
학생5526,89,36,63,14
학생5527,83,26,81,98
학생5528,18,51,17,6
학생5529,42,92,61,10
학생5530,46,56,39,24
학생5531,70,41,86,93
학생5532,20,88,73,46
학생5533,63,60,55,70
학생5534,21,50,55,88
학생5535,98,90,88,64
학생5536,88,90,62,72
학생5537,92,70,75,85
학생5538,63,60,31,70
학생5539,54,50,23,88
학생5540,64,54,73,83
학생5541,89,36,63,14
학생5542,83,26,81,98
학생5543,18,51,17,6
학생5544,62,69,84,80
학생5545,54,34,56,46
학생5546,40,67,26,96
학생5547,55,85,46,81
학생5548,35,53,86,12
학생5549,42,59,79,10
학생5550,20,83,28,69
학생5551,14,53,19,32
학생5552,77,75,75,98
학생5553,45,30,62,89
학생5554,69,47,71,90
학생5555,51,57,16,0
학생5556,28,69,8,6
학생5557,55,46,97,73
학생5558,52,79,44,16
학생5559,33,62,83,0
학생5560,79,12,53,43
학생5561,55,56,92,40
학생5562,46,56,39,24
학생5563,70,41,86,93
학생5564,20,88,73,46
학생5565,63,60,55,70
학생5566,21,50,55,88
학생5567,98,90,88,64
학생5568,88,90,62,72
학생5569,92,70,75,85
학생5570,63,60,31,70
학생5571,54,50,23,88
학생5572,64,54,73,83
학생5573,89,36,63,14
학생5574,83,26,81,98
학생5575,18,51,17,6
학생5576,46,56,39,24
학생5577,70,41,86,93
학생5578,20,88,73,46
학생5579,63,60,55,70
학생5580,21,50,55,88
학생5581,98,90,88,64
학생5582,88,90,62,72
학생5583,92,70,75,85
학생5584,63,60,31,70
학생5585,54,50,23,88
학생5586,64,54,73,83
학생5587,89,36,63,14
학생5588,83,26,81,98
학생5589,18,51,17,6
학생5590,37,27,97,62
학생5591,70,20,63,0
학생5592,85,98,24,53
학생5593,94,77,76,99
학생5594,96,39,77,12
학생5595,46,56,39,24
학생5596,70,41,86,93
학생5597,20,88,73,46
학생5598,63,60,55,70
학생5599,21,50,55,88
학생5600,98,90,88,64
학생5601,88,90,62,72
학생5602,46,56,39,24
학생5603,70,41,86,93
학생5604,20,88,73,46
학생5605,63,60,55,70
학생5606,21,50,55,88
학생5607,98,90,88,64
학생5608,88,90,62,72
학생5609,92,70,75,85
학생5610,63,60,31,70
학생5611,54,50,23,88
학생5612,64,54,73,83
학생5613,89,36,63,14
학생5614,83,26,81,98
학생5615,18,51,17,6
학생5616,46,56,39,24
학생5617,70,41,86,93
학생5618,20,88,73,46
학생5619,63,60,55,70
학생5620,21,50,55,88
학생5621,98,90,88,64
학생5622,88,90,62,72
학생5623,92,70,75,85
학생5624,63,60,31,70
학생5625,54,50,23,88
학생5626,46,56,39,24
학생5627,70,41,86,93
학생5628,20,88,73,46
학생5629,63,60,55,70
학생5630,21,50,55,88
학생5631,98,90,88,64
학생5632,88,90,62,72
학생5633,46,56,39,24
학생5634,70,41,86,93
학생5635,20,88,73,46
학생5636,63,60,55,70
학생5637,21,50,55,88
학생5638,98,90,88,64
학생5639,88,90,62,72
학생5640,92,70,75,85
학생5641,63,60,31,70
학생5642,54,50,23,88
학생5643,64,54,73,83
학생5644,46,56,39,24
학생5645,70,41,86,93
학생5646,20,88,73,46
학생5647,63,60,55,70
학생5648,21,50,55,88
학생5649,98,90,88,64
학생5650,88,90,62,72
학생5651,92,70,75,85
학생5652,63,60,31,70
학생5653,54,50,23,88
학생5654,46,56,39,24
학생5655,70,41,86,93
학생5656,20,88,73,46
학생5657,46,56,39,24
학생5658,70,41,86,93
학생5659,46,56,39,24
학생5660,70,41,86,93
학생5661,20,88,73,46
학생5662,63,60,55,70
학생5663,21,50,55,88
학생5664,98,90,88,64
학생5665,88,90,62,72
학생5666,92,70,75,85
학생5667,63,60,31,70
학생5668,54,50,23,88
학생5669,64,54,73,83
학생5670,89,36,63,14
학생5671,83,26,81,98
학생5672,18,51,17,6
학생5673,85,37,23,49
학생5674,90,93,65,30
학생5675,71,83,15,11
학생5676,94,6,28,69
학생5677,85,88,60,17
학생5678,32,59,16,31
학생5679,59,64,40,72
학생5680,85,73,51,6
학생5681,20,36,26,73
학생5682,46,56,39,24
학생5683,70,41,86,93
학생5684,20,88,73,46
학생5685,63,60,55,70
학생5686,21,50,55,88
학생5687,98,90,88,64
학생5688,88,90,62,72
학생5689,92,70,75,85
학생5690,63,60,31,70
학생5691,54,50,23,88
학생5692,64,54,73,83
학생5693,89,36,63,14
학생5694,83,26,81,98
학생5695,18,51,17,6
학생5696,23,61,24,30
학생5697,53,60,20,39
학생5698,46,56,39,24
학생5699,70,41,86,93
학생5700,20,88,73,46
학생5701,63,60,55,70
학생5702,21,50,55,88
학생5703,98,90,88,64
학생5704,88,90,62,72
학생5705,92,70,75,85
학생5706,63,60,31,70
학생5707,54,50,23,88
학생5708,64,54,73,83
학생5709,89,36,63,14
학생5710,83,26,81,98
학생5711,18,51,17,6
학생5712,54,50,23,88
학생5713,64,54,73,83
학생5714,89,36,63,14
학생5715,83,26,81,98
학생5716,18,51,17,6
학생5717,71,84,33,34
학생5718,64,3,39,18
학생5719,46,43,49,2
학생5720,36,72,84,28
학생5721,83,57,67,33
학생5722,33,19,69,65
학생5723,46,56,39,24
학생5724,70,41,86,93
학생5725,20,88,73,46
학생5726,63,60,55,70
학생5727,21,50,55,88
학생5728,98,90,88,64
학생5729,88,90,62,72
학생5730,92,70,75,85
학생5731,63,60,31,70
학생5732,54,50,23,88
학생5733,64,54,73,83
학생5734,89,36,63,14
학생5735,83,26,81,98
학생5736,18,51,17,6
학생5737,46,56,39,24
학생5738,70,41,86,93
학생5739,20,88,73,46
학생5740,63,60,55,70
학생5741,21,50,55,88
학생5742,98,90,88,64
학생5743,88,90,62,72
학생5744,46,56,39,24
학생5745,70,41,86,93
학생5746,20,88,73,46
학생5747,63,60,55,70
학생5748,21,50,55,88
학생5749,98,90,88,64
학생5750,88,90,62,72
학생5751,92,70,75,85
학생5752,63,60,31,70
학생5753,54,50,23,88
학생5754,64,54,73,83
학생5755,89,36,63,14
학생5756,83,26,81,98
학생5757,18,51,17,6
학생5758,46,56,39,24
학생5759,70,41,86,93
학생5760,20,88,73,46
학생5761,63,60,55,70
학생5762,21,50,55,88
학생5763,98,90,88,64
학생5764,88,90,62,72
학생5765,92,70,75,85
학생5766,63,60,31,70
학생5767,54,50,23,88
학생5768,64,54,73,83
학생5769,89,36,63,14
학생5770,83,26,81,98
학생5771,18,51,17,6
학생5772,69,66,39,59
학생5773,25,19,37,45
학생5774,21,82,20,20
학생5775,7,11,57,74
학생5776,23,32,52,99
학생5777,97,87,30,66
학생5778,53,32,23,28
학생5779,14,45,73,30
학생5780,12,52,44,37
학생5781,46,56,39,24
학생5782,70,41,86,93
학생5783,20,88,73,46
학생5784,63,60,55,70
학생5785,21,50,55,88
학생5786,98,90,88,64
학생5787,88,90,62,72
학생5788,92,70,75,85
학생5789,63,60,31,70
학생5790,54,50,23,88
학생5791,64,54,73,83
학생5792,89,36,63,14
학생5793,83,26,81,98
학생5794,18,51,17,6
학생5795,75,38,94,50
학생5796,58,74,56,27
학생5797,52,86,55,51
학생5798,62,24,72,24
학생5799,71,21,21,89
학생5800,95,67,17,86
학생5801,62,71,88,95
학생5802,46,56,39,24
학생5803,70,41,86,93
학생5804,20,88,73,46
학생5805,63,60,55,70
학생5806,21,50,55,88
학생5807,98,90,88,64
학생5808,46,56,39,24
학생5809,70,41,86,93
학생5810,20,88,73,46
학생5811,63,60,55,70
학생5812,21,50,55,88
학생5813,98,90,88,64
학생5814,88,90,62,72
학생5815,92,70,75,85
학생5816,63,60,31,70
학생5817,54,50,23,88
학생5818,64,54,73,83
학생5819,89,36,63,14
학생5820,83,26,81,98
학생5821,18,51,17,6
학생5822,98,,88,64
학생5823,88,90,62,72
학생5824,92,70,,
학생5825,63,60,31,70
학생5826,100,50,,88
학생5827,98,,88,64
학생5828,88,90,62,72
학생5829,92,70,,
학생5830,63,60,31,70
학생5831,100,50,,88
학생5832,56,49,90,44
학생5833,34,28,16,0
학생5834,37,13,9,41
학생5835,14,17,21,77
학생5836,37,20,3,77
학생5837,19,97,28,77
학생5838,57,85,33,84
학생5839,10,21,67,54
학생5840,79,74,14,59
학생5841,96,67,66,48
학생5842,46,25,54,56
학생5843,66,32,77,24
학생5844,46,25,2,12
학생5845,26,10,49,74
학생5846,97,68,65,33
학생5847,86,70,99,45
학생5848,31,62,37,82
학생5849,43,88,11,56
학생5850,6,98,96,74
학생5851,41,75,8,22
학생5852,29,45,94,70
학생5853,83,84,32,91
학생5854,91,1,53,32
학생5855,89,59,10,29
학생5856,84,58,70,25
학생5857,96,95,10,4
학생5858,83,7,64,9
학생5859,67,38,63,26
학생5860,50,72,14,86
학생5861,60,28,49,59
학생5862,71,11,49,62
학생5863,32,63,31,96
학생5864,72,6,73,22
학생5865,29,93,2,85
학생5866,,56,64,24
학생5867,98,,88,64
학생5868,88,90,62,72
학생5869,92,70,,
학생5870,63,60,31,70
학생5871,21,50,,88
학생5872,98,,88,64
학생5873,88,90,62,72
학생5874,92,70,,
학생5875,63,60,31,70
학생5876,54,50,,88
학생5877,64,3,73,83
학생5878,78,58,20,47
학생5879,13,82,57,1
학생5880,4,11,81,76
학생5881,3,25,26,67
학생5882,96,78,1,6
학생5883,78,31,70,91
학생5884,4,63,59,23
학생5885,29,67,49,28
학생5886,93,56,63,55
학생5887,57,65,12,47
학생5888,20,74,56,17
학생5889,6,61,0,20
학생5890,3,11,83,45
학생5891,4,82,88,69
학생5892,62,5,92,67
학생5893,4,12,73,73
학생5894,84,58,70,25
학생5895,96,95,10,4
학생5896,83,7,64,9
학생5897,67,38,63,26
학생5898,50,72,14,86
학생5899,60,28,49,59
학생5900,71,11,49,62
학생5901,32,63,31,96
학생5902,72,6,73,22
학생5903,29,93,2,85
학생5904,,56,64,24
학생5905,98,,88,64
학생5906,88,90,62,72
학생5907,92,70,,
학생5908,63,60,31,70
학생5909,21,50,,88
학생5910,98,,88,64
학생5911,88,90,62,72
학생5912,92,70,,
학생5913,63,60,31,70
학생5914,54,50,,88
학생5915,64,3,73,83
학생5916,83,91,32,99
학생5917,5,55,11,65
학생5918,7,40,10,3
학생5919,55,46,74,35
학생5920,97,70,20,27
학생5921,92,61,42,88
학생5922,16,10,41,55
학생5923,47,33,64,65
학생5924,14,40,90,41
학생5925,3,74,48,49
학생5926,52,64,68,85
학생5927,26,87,93,36
학생5928,30,51,30,62
학생5929,72,44,80,13
학생5930,35,49,30,41
학생5931,52,60,1,14
학생5932,12,65,86,76
학생5933,79,21,11,41
학생5934,13,33,72,92
학생5935,57,68,33,33
학생5936,48,44,37,83
학생5937,66,88,81,66
학생5938,44,15,44,46
학생5939,99,2,96,90
학생5940,57,4,12,85
학생5941,4,77,57,83
학생5942,74,23,52,64
학생5943,84,58,70,25
학생5944,96,95,10,4
학생5945,83,7,64,9
학생5946,67,38,63,26
학생5947,50,72,14,86
학생5948,60,28,49,59
학생5949,71,11,49,62
학생5950,32,63,31,96
학생5951,72,6,73,22
학생5952,29,93,2,85
학생5953,,56,64,24
학생5954,98,,88,64
학생5955,88,90,62,72
학생5956,92,70,55,
학생5957,63,60,55,70
학생5958,21,50,55,88
학생5959,98,,88,64
학생5960,88,90,62,72
학생5961,92,70,75,85
학생5962,63,60,31,70
학생5963,54,50,23,88
학생5964,64,54,73,83
학생5965,89,36,63,14
학생5966,83,26,81,98
학생5967,18,51,17,6
학생5968,63,60,55,70
학생5969,21,50,55,88
학생5970,98,,88,64
학생5971,88,90,62,72
학생5972,92,70,75,85
학생5973,63,60,31,70
학생5974,54,50,23,88
학생5975,64,54,73,83
학생5976,89,36,63,14
학생5977,83,26,81,98
학생5978,18,51,17,6
학생5979,33,95,77,95
학생5980,86,34,31,18
학생5981,61,31,97,69
학생5982,79,87,93,86
학생5983,68,75,10,58
학생5984,36,59,90,54
학생5985,55,25,13,30
학생5986,63,60,55,70
학생5987,21,50,55,88
학생5988,98,,88,64
학생5989,88,90,62,72
학생5990,92,70,75,85
학생5991,63,60,31,70
학생5992,54,50,23,88
학생5993,64,54,73,83
학생5994,89,36,63,14
학생5995,83,26,81,98
학생5996,18,51,17,6
학생5997,73,89,73,78
학생5998,45,11,99,81
학생5999,88,10,87,7
학생6000,10,67,56,93
학생6001,97,82,93,67
학생6002,4,86,62,94
학생6003,72,47,72,89
학생6004,13,56,64,34
학생6005,46,56,39,24
학생6006,70,41,86,93
학생6007,20,88,73,46
학생6008,63,60,55,70
학생6009,21,50,55,88
학생6010,98,90,88,64
학생6011,88,90,62,72
학생6012,92,70,75,85
학생6013,63,60,31,70
학생6014,54,50,23,88
학생6015,64,54,73,83
학생6016,89,36,63,14
학생6017,83,26,81,98
학생6018,18,51,17,6
학생6019,74,85,95,70
학생6020,46,56,39,24
학생6021,70,41,86,93
학생6022,20,88,73,46
학생6023,63,60,55,70
학생6024,21,50,55,88
학생6025,98,90,88,64
학생6026,88,90,62,72
학생6027,92,70,75,85
학생6028,63,60,31,70
학생6029,54,50,23,88
학생6030,64,54,73,83
학생6031,89,36,63,14
학생6032,83,26,81,98
학생6033,18,51,17,6
학생6034,42,92,61,10
학생6035,46,56,39,24
학생6036,70,41,86,93
학생6037,20,88,73,46
학생6038,63,60,55,70
학생6039,21,50,55,88
학생6040,98,90,88,64
학생6041,88,90,62,72
학생6042,92,70,75,85
학생6043,63,60,31,70
학생6044,54,50,23,88
학생6045,64,54,73,83
학생6046,89,36,63,14
학생6047,83,26,81,98
학생6048,18,51,17,6
학생6049,62,69,84,80
학생6050,54,34,56,46
학생6051,40,67,26,96
학생6052,55,85,46,81
학생6053,35,53,86,12
학생6054,42,59,79,10
학생6055,20,83,28,69
학생6056,14,53,19,32
학생6057,77,75,75,98
학생6058,45,30,62,89
학생6059,69,47,71,90
학생6060,51,57,16,0
학생6061,28,69,8,6
학생6062,55,46,97,73
학생6063,52,79,44,16
학생6064,33,62,83,0
학생6065,79,12,53,43
학생6066,55,56,92,40
학생6067,46,56,39,24
학생6068,70,41,86,93
학생6069,20,88,73,46
학생6070,63,60,55,70
학생6071,21,50,55,88
학생6072,98,90,88,64
학생6073,88,90,62,72
학생6074,92,70,75,85
학생6075,63,60,31,70
학생6076,54,50,23,88
학생6077,64,54,73,83
학생6078,89,36,63,14
학생6079,83,26,81,98
학생6080,18,51,17,6
학생6081,46,56,39,24
학생6082,70,41,86,93
학생6083,20,88,73,46
학생6084,63,60,55,70
학생6085,21,50,55,88
학생6086,98,90,88,64
학생6087,88,90,62,72
학생6088,92,70,75,85
학생6089,63,60,31,70
학생6090,54,50,23,88
학생6091,64,54,73,83
학생6092,89,36,63,14
학생6093,83,26,81,98
학생6094,18,51,17,6
학생6095,37,27,97,62
학생6096,70,20,63,0
학생6097,98,,88,64
학생6098,88,90,62,72
학생6099,92,70,,
학생6100,63,60,31,70
학생6101,100,50,,88
학생6102,98,,88,64
학생6103,88,90,62,72
학생6104,92,70,,
학생6105,63,60,31,70
학생6106,100,50,,88
학생6107,56,49,90,44
학생6108,34,28,16,0
학생6109,37,13,9,41
학생6110,14,17,21,77
학생6111,37,20,3,77
학생6112,19,97,28,77
학생6113,57,85,33,84
학생6114,10,21,67,54
학생6115,79,74,14,59
학생6116,96,67,66,48
학생6117,46,25,54,56
학생6118,66,32,77,24
학생6119,46,25,2,12
학생6120,26,10,49,74
학생6121,97,68,65,33
학생6122,86,70,99,45
학생6123,31,62,37,82
학생6124,43,88,11,56
학생6125,6,98,96,74
학생6126,41,75,8,22
학생6127,29,45,94,70
학생6128,83,84,32,91
학생6129,91,1,53,32
학생6130,89,59,10,29
학생6131,84,58,70,25
학생6132,96,95,10,4
학생6133,83,7,64,9
학생6134,67,38,63,26
학생6135,50,72,14,86
학생6136,60,28,49,59
학생6137,71,11,49,62
학생6138,32,63,31,96
학생6139,72,6,73,22
학생6140,29,93,2,85
학생6141,,56,64,24
학생6142,98,,88,64
학생6143,88,90,62,72
학생6144,92,70,,
학생6145,63,60,31,70
학생6146,21,50,,88
학생6147,98,,88,64
학생6148,88,90,62,72
학생6149,92,70,,
학생6150,63,60,31,70
학생6151,54,50,,88
학생6152,64,3,73,83
학생6153,78,58,20,47
학생6154,13,82,57,1
학생6155,4,11,81,76
학생6156,3,25,26,67
학생6157,96,78,1,6
학생6158,78,31,70,91
학생6159,4,63,59,23
학생6160,29,67,49,28
학생6161,93,56,63,55
학생6162,57,65,12,47
학생6163,20,74,56,17
학생6164,6,61,0,20
학생6165,3,11,83,45
학생6166,4,82,88,69
학생6167,62,5,92,67
학생6168,4,12,73,73
학생6169,84,58,70,25
학생6170,96,95,10,4
학생6171,83,7,64,9
학생6172,67,38,63,26
